-	/flower buds*/shape	/flower buds*/shape	/flower buds*/texture	/flower buds*/texture	/flower buds/length* (cm)	/flower buds/length* (cm)	/flower buds/length* (cm)/minimum	/flower buds/length* (cm)/maximum	/flower buds/length*/texture	/flower buds/length*/texture	/flower buds/style*/shape	/flower buds/style*/shape	/flowers*/shape	/flowers*/shape	/flowers*/position	/flowers*/position	/flowers*/margin type	/flowers*/margin type	/flowers*/growth form	/flowers*/growth form	/flowers/colour*/colour	/flowers/colour*/colour	/flowers/length* (cm)	/flowers/length* (cm)	/flowers/length* (cm)/minimum	/flowers/length* (cm)/maximum	/flowers/merosity*/minimum	/flowers/merosity*/maximum	/flowers/merosity*/shape	/flowers/merosity*/shape	/flowers/style*/shape	/flowers/style*/shape	/flowers/style*/texture	/flowers/style*/texture	/fruits*/shape	/fruits*/shape	/fruits*/texture	/fruits*/texture	/fruits*/growth form	/fruits*/growth form	/fruits/colour*/margin type	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/colour*/colour	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)/minimum	/fruits/dimensions* (cm)/maximum	/fruits/perianth segments*/shape	/fruits/perianth segments*/shape	/fruits/shape*/shape	/fruits/shape*/shape	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/hairs	/habit*/hairs	/habit*/colour	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*/minimum	/habit/basal cataphylls/cataphyll pair number*/maximum	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)/minimum	/habit/basal cataphylls/relative distance* (cm)/maximum	/habit/basal cataphylls/relative distance*/shape	/habit/basal cataphylls/relative distance*/shape	/habit/colour*/texture	/habit/colour*/texture	/habit/colour*/colour	/habit/colour*/colour	/habit/epicortical roots*/shape	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/epicortical roots*/growth form	/habit/internodes*/shape	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes*/hairs	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)/minimum	/habit/internodes/length* (cm)/maximum	/habit/stems*/shape	/habit/stems*/shape	/habit/stems*/growth form	/habit/stems*/growth form	/inflorescences*/shape	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/growth form	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*/minimum	/inflorescences/fertile internodes/fertile internode number*/maximum	/inflorescences/flowers/flower number per bract*/minimum	/inflorescences/flowers/flower number per bract*/maximum	/inflorescences/length* (cm)	/inflorescences/length* (cm)	/inflorescences/length* (cm)/minimum	/inflorescences/length* (cm)/maximum	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle*/position	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)/minimum	/inflorescences/peduncle/length* (cm)/maximum	/inflorescences/position*/shape	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/position*/position	/inflorescences/triad pair number*/minimum	/inflorescences/triad pair number*/maximum	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)/minimum	/inflorescences/triad peduncle/length* (cm)/maximum	/leaf blades/shape*/shape	/leaf blades/shape*/shape	/leaves*/shape	/leaves*/shape	/leaves*/position	/leaves*/position	/leaves*/margin type	/leaves*/margin type	/leaves*/growth form	/leaves*/growth form	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)/minimum	/leaves/blade/dimensions* (cm)/maximum	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/blade/shape*/growth form	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)/minimum	/leaves/petiole/length* (cm)/maximum	/leaves/veins*/minimum	/leaves/veins*/maximum	/leaves/veins*/shape	/leaves/veins*/shape	/petiole*/shape	/petiole*/shape	/petiole*/margin type	/petiole*/margin type	/petiole/blade/apex*/shape	/petiole/blade/apex*/shape	/petiole/blade/base*/shape	/petiole/blade/base*/shape	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)/minimum	/petiole/blade/dimensions* (cm)/maximum	/petiole/blade/dimensions*/shape	/petiole/blade/dimensions*/shape	/petiole/blade/shape*/shape	/petiole/blade/shape*/shape	/petiole/blade/texture*/texture	/petiole/blade/texture*/texture	/petiole/length* (cm)	/petiole/length* (cm)	/petiole/length* (cm)/minimum	/petiole/length* (cm)/maximum	/petiole/veins*/minimum	/petiole/veins*/maximum	/petiole/veins*/shape	/petiole/veins*/shape	/petiole/veins*/position	/petiole/veins*/position	/habitat/altitude* (m)	/habitat/altitude*/environment	/habitat/altitude*/environment				
Phoradendron chrysocladon 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000100000010000110	brown,orange,reddish,white	about 0.4 x 0.3 cm	0.4	-	-	0000000000000000000000000000000000000000000000010000000000	small	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	to 17.0 x 10.0 cm	-	-	17.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010000000000000000000000000000000	lanceolate	0001000000	leathery	-	-	-	-	3	7	0000000000000000000000000000000000000010000000000000000000	palmate	00000	-	low elevations	0000	-				
Phoradendron crassifolium 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000010000000	spherical	0000000000	-	000	-	00000	-	0000000000000000000	-	0.2 x 0.2 cm	0.2	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	0.3-0.5 cm above base	-	0.3	0.5	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	to 8.0 cm long	-	-	8.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000010010000000000000000100000000	narrow,obovate,spatulate	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phoradendron dipterum 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000010	white	0.25-0.3 x 0.15-0.2 cm	-	0.25	0.3	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000001	winged	00000	-	0000100000000000000000000000000000000000000000000000000000	acute	0000000000000000000000000000000000000000000000000000000000	-	to 6.5 x 3.0 cm	-	-	6.5	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010000000000000000000000000000000	lanceolate	0000000010	thin	ca. 0.3 cm long	0.3	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00010	lateral	-	0000	-				
Phoradendron granvillei 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000100000001000000000000000000000000	globose,obovoid	0000000000	-	000	-	00000	-	0000000000000000010	white	0.3 x 0.3 cm	0.3	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	0.3-0.4 cm above base	-	0.3	0.4	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000010000000001000000	quadrangular,terete	00	-	to 10.0 cm long	-	-	10.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00100	entire	00	-	000	-	0000000000	-	00000	-	000	-	3	5	6	10	3.0-6.5 cm long	-	3.0	6.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.3-0.5 cm	-	0.3	0.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000001000000000000000	rounded	0000000000000000000000000000000000000000000000000000000000	-	7.0.0-15.0.0(18.0) x 3.0-5.0(7.0.0) cm	-	0.0	15.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000001000000000000000000000	ovate	0000000000	-	1.0-1.0.5 cm long	-	1.0	1.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phoradendron hexastichum 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000010000100	orange,reddish	0.4 x 0.6 cm	0.4	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00001	terminal	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	1	3	to 3.0 cm long	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	to 9.0 x 6.0 cm	-	-	9.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000100000000000000000000000000000000000000	elliptical	0000000000	-	to 1.0 cm long	-	-	1.0	-	-	0000000000000000000000000000000000000010000000000000000000	palmate	00000	-	-	0000	-				
Phoradendron inaequidentatum 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	0000010000000000000	colored	1	4	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	1000000000000000000000000000000000000000000000000000000000	 nodes	000	-	0000000000000000000000000000000000000000000000100000000000	slender	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	3	5	1.5-2.0 cm long	-	1.5	2.0	0000000000000000000000000000000000000000000001000000000000	short	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000001000000000000000000000	ovate	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phoradendron krameri 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	2	4	to 3.0 cm above base	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	to 6.0 cm long	-	-	6.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	3	5	to 4.5 cm long	-	-	4.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000100000000000000000000000000000000000001000000000000000	acute,rounded	0000000000000000000000000000000000000000000000000000000000	-	to 14.0 x 3.0 cm	-	-	14.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000010100000000000000000000000000	narrow,oblong	1000000000	coriaceous	0.4 cm long	0.4	-	-	3	5	0000000000000000000000000000000000000010000000000000000000	palmate	00000	-	-	0000	-				
Phoradendron mairaryense 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000100000010000000	brown,orange	0.5 x 0.3 cm	0.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	as low as 0.4 cm when only 1.0.0 pair, second pair to 1.0.0 cm above axil	-	-	1.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000100000000000000	brown	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	to 9.0 cm long	-	-	9.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	5	9	to 4.5 cm long	-	-	4.5	0000000000000000000000000000000000000000000000000000000000	-	00011	lateral,terminal	5.0-7.0 cm long	-	5.0	7.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000010000000001000000000000000000000	lanceolate,ovate	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phoradendron morsicatum 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000010000	smooth	000	-	00000	-	0000000000000000000	-	0.4 x 0.3 cm	0.4	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	ca. 0.2 cm above axil	0.2	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	1000000000000000000000000000000000000000000000000000000000	 nodes	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	ca. 2.0 cm at anthesis, elongation to 4.5 cm or less	-	-	4.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.1-0.2 cm long	-	0.1	0.2	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000001000000000000000	rounded	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000100000000000000000000000000000000000000000000000000000	acute	to 3.0 x 1.5 cm	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000100000000000010000000000000000000000000	elliptical,obovate	0000000000	-	0.2-0.3 cm long	-	0.2	0.3	-	-	0000000000000000000000000000000000000010000000000000000000	palmate	00000	-	-	0000	-				
Phoradendron mucronatum 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000010	white	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000010000	tubular	00	-	0000000000000000000	-	-	-	0.2-0.3 cm above base	-	0.2	0.3	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	1000000000000000000000000000000000000000000000000001000000	 nodes,terete	00	-	to 7.0 cm long	-	-	7.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000100000000000	slender	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	5	9	to nearly 2.0 cm	2.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.3-0.5 cm	-	0.3	0.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000001000000000000000	rounded	0000000000000000000000000000000000000000000000000000000000	-	to 6.0 x 3.5 cm	-	-	6.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000010000000000000000000000000	obovate	0000000000	-	ca. 0.3 cm long	0.3	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
